АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
Rue Joseph-Bens 532;Брюссель;19.02.98 08:00;17.03.98 08:00;17.02.98 08:00;2;B-1180;10892;MAISD;4;Maison Dewey;;120,27;Бельгия
Maubelstr. 90;Бранденбург;20.02.98 08:00;18.03.98 08:00;18.02.98 08:00;2;14776;10893;KOENE;9;Koniglich Essen;;77,78;Германия
187 Suffolk Ln.;Буа;20.02.98 08:00;18.03.98 08:00;18.02.98 08:00;1;83720;10894;SAVEA;1;Save-a-lot Markets;ID;116,13;США
Kirchgasse 6;Грасс;23.02.98 08:00;18.03.98 08:00;18.02.98 08:00;1;8010;10895;ERNSH;3;Ernst Handel;;162,75;Австрия
Rue Joseph-Bens 532;Брюссель;27.02.98 08:00;19.03.98 08:00;19.02.98 08:00;3;B-1180;10896;MAISD;7;Maison Dewey;;32,45;Бельгия
8 Johnstown Road;Корк;25.02.98 08:00;19.03.98 08:00;19.02.98 08:00;2;;10897;HUNGO;3;Hungry Owl All-Night Grocers;Co. Cork;603,54;Ирландия
"Ing. Gustavo Moncada 8585
Piso 20-A";Буэнос-Айрес;06.03.98 08:00;20.03.98 08:00;20.02.98 08:00;2;1010;10898;OCEAN;4;Oceano Atlantico Ltda.;;1,27;Аргентина
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;26.02.98 08:00;20.03.98 08:00;20.02.98 08:00;3;3508;10899;LILAS;5;LILA-Supermercado;Lara;1,21;Венесуэлла
Rua do Mercado, 12;Ресенде;04.03.98 08:00;20.03.98 08:00;20.02.98 08:00;2;08737-363;10900;WELLI;1;Wellington Importadora;SP;1,66;Бразилия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;26.02.98 08:00;23.03.98 08:00;23.02.98 08:00;1;5022;10901;HILAA;4;HILARION-Abastos;Tochira;62,09;Венесуэлла
Lkergatan 24;Брекке;03.03.98 08:00;23.03.98 08:00;23.02.98 08:00;1;S-844 67;10902;FOLKO;1;Folk och fa HB;;44,15;Швеция
Rua do Paco, 67;Рио-де-Жанейро;04.03.98 08:00;24.03.98 08:00;24.02.98 08:00;3;05454-876;10903;HANAR;3;Hanari Carnes;RJ;36,71;Бразилия
1029 - 12th Ave. S.;Сиэтл;27.02.98 08:00;24.03.98 08:00;24.02.98 08:00;3;98124;10904;WHITC;3;White Clover Markets;WA;162,95;США
Rua do Mercado, 12;Ресенде;06.03.98 08:00;24.03.98 08:00;24.02.98 08:00;2;08737-363;10905;WELLI;9;Wellington Importadora;SP;13,72;Бразилия
ul. Filtrowa 68;Варшава;03.03.98 08:00;11.03.98 08:00;25.02.98 08:00;3;01-012;10906;WOLZA;4;Wolski Zajazd;;26,29;Польша
25, rue Lauriston;Париж;27.02.98 08:00;25.03.98 08:00;25.02.98 08:00;3;75016;10907;SPECD;6;Specialites du monde;;9,19;Франция
Strada Provinciale 124;Реджио-Эмилио;06.03.98 08:00;26.03.98 08:00;26.02.98 08:00;2;42100;10908;REGGC;4;Reggiani Caseifici;;32,96;Италия
Erling Skakkes gate 78;Ставерен;10.03.98 08:00;26.03.98 08:00;26.02.98 08:00;2;4110;10909;SANTG;1;Sante Gourmet;;53,05;Норвегия
Keskuskatu 45;Хельсинки;04.03.98 08:00;26.03.98 08:00;26.02.98 08:00;3;21240;10910;WILMK;1;Wilman Kala;;38,11;Финляндия
C/ Romero, 33;Севилья;05.03.98 08:00;26.03.98 08:00;26.02.98 08:00;1;41101;10911;GODOS;3;Godos Cocina Tipica;;38,19;Испания
8 Johnstown Road;Корк;18.03.98 08:00;26.03.98 08:00;26.02.98 08:00;2;;10912;HUNGO;2;Hungry Owl All-Night Grocers;Co. Cork;580,91;Ирландия
Alameda dos Canarios, 891;Сан-Пауло;04.03.98 08:00;26.03.98 08:00;26.02.98 08:00;1;05487-020;10913;QUEEN;4;Queen Cozinha;SP;33,05;Бразилия
Alameda dos Canarios, 891;Сан-Пауло;02.03.98 08:00;27.03.98 08:00;27.02.98 08:00;1;05487-020;10914;QUEEN;6;Queen Cozinha;SP;21,19;Бразилия
Avda. Azteca 123;Мехико;02.03.98 08:00;27.03.98 08:00;27.02.98 08:00;2;05033;10915;TORTU;2;Tortuga Restaurante;;3,51;Мексика
Av. del Libertador 900;Буэнос-Айрес;09.03.98 08:00;27.03.98 08:00;27.02.98 08:00;2;1010;10916;RANCH;1;Rancho grande;;63,77;Аргентина
Gran Via, 1;Мадрид;11.03.98 08:00;30.03.98 09:00;02.03.98 08:00;2;28001;10917;ROMEY;4;Romero y tomillo;;8,29;Испания
23 Tsawassen Blvd.;Тсавассен;11.03.98 08:00;30.03.98 09:00;02.03.98 08:00;3;T2F 8M4;10918;BOTTM;3;Bottom-Dollar Markets;BC;48,83;Канада
Ave. 5 de Mayo Porlamar;О-в Маргариты;04.03.98 08:00;30.03.98 09:00;02.03.98 08:00;2;4980;10919;LINOD;2;LINO-Delicateses;Nueva Esparta;19,8;Венесуэлла
"Brook Farm
Stratford St. Mary";Колчестер;09.03.98 08:00;31.03.98 09:00;03.03.98 08:00;2;CO7 6JX;10920;AROUT;4;Around the Horn;Essex;29,61;Великобритания
Smagsloget 45;Орхус;09.03.98 08:00;14.04.98 08:00;03.03.98 08:00;1;8200;10921;VAFFE;1;Vaffeljernet;;176,48;Дания
Rua do Paco, 67;Рио-де-Жанейро;05.03.98 08:00;31.03.98 09:00;03.03.98 08:00;3;05454-876;10922;HANAR;5;Hanari Carnes;RJ;62,74;Бразилия
1 rue Alsace-Lorraine;Тулуза;13.03.98 08:00;14.04.98 08:00;03.03.98 08:00;3;31000;10923;LAMAI;7;La maison d'Asie;;68,26;Франция
Berguvsvagen  8;Лулео;08.04.98 08:00;01.04.98 09:00;04.03.98 08:00;2;S-958 22;10924;BERGS;3;Berglunds snabbkop;;151,52;Швеция
Rua do Paco, 67;Рио-де-Жанейро;13.03.98 08:00;01.04.98 09:00;04.03.98 08:00;1;05454-876;10925;HANAR;3;Hanari Carnes;RJ;2,27;Бразилия
Avda. de la Constitucion 2222;Мехико;11.03.98 08:00;01.04.98 09:00;04.03.98 08:00;3;05021;10926;ANATR;4;Ana Trujillo Emparedados y helados;;39,92;Мексика
67, avenue de l'Europe;Версаль;08.04.98 08:00;02.04.98 09:00;05.03.98 08:00;1;78000;10927;LACOR;4;La corne d'abondance;;19,79;Франция
Rambla de Cataluna, 23;Барселона;18.03.98 08:00;02.04.98 09:00;05.03.98 08:00;1;8022;10928;GALED;1;Galeria del gastronomo;;1,36;Испания
Berliner Platz 43;Мюнхен;12.03.98 08:00;02.04.98 09:00;05.03.98 08:00;1;80805;10929;FRANK;6;Frankenversand;;33,93;Германия
Boulevard Tirou, 255;Шарлеруа;18.03.98 08:00;17.04.98 08:00;06.03.98 08:00;3;B-6000;10930;SUPRD;4;Supremes delices;;15,55;Бельгия
Starenweg 5;Женева;19.03.98 08:00;20.03.98 08:00;06.03.98 08:00;2;1204;10931;RICSU;4;Richter Supermarkt;;13,6;Швейцария
12, rue des Bouchers;Марсель;24.03.98 08:00;03.04.98 09:00;06.03.98 08:00;1;13008;10932;BONAP;8;Bon app';;134,64;Франция
"Garden House
Crowther Way";Cowes;16.03.98 08:00;03.04.98 09:00;06.03.98 08:00;3;PO31 7PJ;10933;ISLAT;6;Island Trading;Isle of White;54,15;Великобритания
Magazinweg 7;Франкфурт;12.03.98 08:00;06.04.98 08:00;09.03.98 08:00;3;60528;10934;LEHMS;3;Lehmanns Marktstand;;32,01;Германия
Rua do Mercado, 12;Ресенде;18.03.98 08:00;06.04.98 08:00;09.03.98 08:00;3;08737-363;10935;WELLI;4;Wellington Importadora;SP;47,59;Бразилия
2732 Baker Blvd.;Юджин;18.03.98 08:00;06.04.98 08:00;09.03.98 08:00;2;97403;10936;GREAL;3;Great Lakes Food Market;OR;33,68;США
Cerrito 333;Буэнос-Айрес;13.03.98 08:00;24.03.98 08:00;10.03.98 08:00;3;1010;10937;CACTU;7;Cactus Comidas para llevar;;31,51;Аргентина
Taucherstrasse 10;Кюневальд;16.03.98 08:00;07.04.98 08:00;10.03.98 08:00;2;01307;10938;QUICK;3;QUICK-Stop;;31,89;Германия
Via Ludovico il Moro 22;Бергамо;13.03.98 08:00;07.04.98 08:00;10.03.98 08:00;2;24100;10939;MAGAA;2;Magazzini Alimentari Riuniti;;76,33;Италия
12, rue des Bouchers;Марсель;23.03.98 08:00;08.04.98 08:00;11.03.98 08:00;3;13008;10940;BONAP;8;Bon app';;19,77;Франция
187 Suffolk Ln.;Буа;20.03.98 08:00;08.04.98 08:00;11.03.98 08:00;2;83720;10941;SAVEA;7;Save-a-lot Markets;ID;400,81;США
Strada Provinciale 124;Реджио-Эмилио;18.03.98 08:00;08.04.98 08:00;11.03.98 08:00;3;42100;10942;REGGC;9;Reggiani Caseifici;;17,95;Италия
Fauntleroy Circus;Лондон;19.03.98 08:00;08.04.98 08:00;11.03.98 08:00;2;EC2 5NT;10943;BSBEV;4;B's Beverages;;2,17;Великобритания
23 Tsawassen Blvd.;Тсавассен;13.03.98 08:00;26.03.98 08:00;12.03.98 08:00;3;T2F 8M4;10944;BOTTM;6;Bottom-Dollar Markets;BC;52,92;Канада
Heerstr. 22;Лейпциг;18.03.98 08:00;09.04.98 08:00;12.03.98 08:00;1;04179;10945;MORGK;4;Morgenstern Gesundkost;;10,22;Германия
Smagsloget 45;Орхус;19.03.98 08:00;09.04.98 08:00;12.03.98 08:00;2;8200;10946;VAFFE;1;Vaffeljernet;;27,2;Дания
Fauntleroy Circus;Лондон;16.03.98 08:00;10.04.98 08:00;13.03.98 08:00;2;EC2 5NT;10947;BSBEV;3;B's Beverages;;3,26;Великобритания
C/ Romero, 33;Севилья;19.03.98 08:00;10.04.98 08:00;13.03.98 08:00;3;41101;10948;GODOS;3;Godos Cocina Tipica;;23,39;Испания
23 Tsawassen Blvd.;Тсавассен;17.03.98 08:00;10.04.98 08:00;13.03.98 08:00;3;T2F 8M4;10949;BOTTM;2;Bottom-Dollar Markets;BC;74,44;Канада
Via Ludovico il Moro 22;Бергамо;23.03.98 08:00;13.04.98 08:00;16.03.98 08:00;2;24100;10950;MAGAA;1;Magazzini Alimentari Riuniti;;2,5;Италия
Starenweg 5;Женева;07.04.98 08:00;27.04.98 08:00;16.03.98 08:00;2;1204;10951;RICSU;9;Richter Supermarkt;;30,85;Швейцария
Obere Str. 57;Берлин;24.03.98 08:00;27.04.98 08:00;16.03.98 08:00;1;12209;10952;ALFKI;1;Alfreds Futterkiste;;40,42;Германия
"Brook Farm
Stratford St. Mary";Колчестер;25.03.98 08:00;30.03.98 09:00;16.03.98 08:00;2;CO7 6JX;10953;AROUT;9;Around the Horn;Essex;23,72;Великобритания
Ave. 5 de Mayo Porlamar;О-в Маргариты;20.03.98 08:00;28.04.98 08:00;17.03.98 08:00;1;4980;10954;LINOD;5;LINO-Delicateses;Nueva Esparta;27,91;Венесуэлла
Lkergatan 24;Брекке;20.03.98 08:00;14.04.98 08:00;17.03.98 08:00;2;S-844 67;10955;FOLKO;8;Folk och fa HB;;3,26;Швеция
Forsterstr. 57;Мангейм;20.03.98 08:00;28.04.98 08:00;17.03.98 08:00;2;68306;10956;BLAUS;6;Blauer See Delikatessen;;44,65;Германия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;27.03.98 08:00;15.04.98 08:00;18.03.98 08:00;3;5022;10957;HILAA;8;HILARION-Abastos;Tochira;105,36;Венесуэлла
"Ing. Gustavo Moncada 8585
Piso 20-A";Буэнос-Айрес;27.03.98 08:00;15.04.98 08:00;18.03.98 08:00;2;1010;10958;OCEAN;7;Oceano Atlantico Ltda.;;49,56;Аргентина
Av. Brasil, 442;Кампинас;23.03.98 08:00;29.04.98 08:00;18.03.98 08:00;2;04876-786;10959;GOURL;6;Gourmet Lanchonetes;SP;4,98;Бразилия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;08.04.98 08:00;02.04.98 09:00;19.03.98 08:00;1;5022;10960;HILAA;3;HILARION-Abastos;Tochira;2,08;Венесуэлла
Alameda dos Canarios, 891;Сан-Пауло;30.03.98 09:00;16.04.98 08:00;19.03.98 08:00;1;05487-020;10961;QUEEN;8;Queen Cozinha;SP;104,47;Бразилия
Taucherstrasse 10;Кюневальд;23.03.98 08:00;16.04.98 08:00;19.03.98 08:00;2;01307;10962;QUICK;8;QUICK-Stop;;275,79;Германия
Jardim das rosas n. 32;Лиссабон;26.03.98 08:00;16.04.98 08:00;19.03.98 08:00;3;1675;10963;FURIB;9;Furia Bacalhau e Frutos do Mar;;2,7;Португалия
25, rue Lauriston;Париж;24.03.98 08:00;17.04.98 08:00;20.03.98 08:00;2;75016;10964;SPECD;3;Specialites du monde;;87,38;Франция
2743 Bering St.;Анкоридж;30.03.98 09:00;17.04.98 08:00;20.03.98 08:00;3;99508;10965;OLDWO;6;Old World Delicatessen;AK;144,38;США
Hauptstr. 31;Берн;08.04.98 08:00;17.04.98 08:00;20.03.98 08:00;1;3012;10966;CHOPS;4;Chop-suey Chinese;;27,19;Швейцария
Luisenstr. 48;Мюнстер;02.04.98 09:00;20.04.98 08:00;23.03.98 08:00;2;44087;10967;TOMSP;2;Toms Spezialitaten;;62,22;Германия
Kirchgasse 6;Грасс;01.04.98 09:00;20.04.98 08:00;23.03.98 08:00;3;8010;10968;ERNSH;1;Ernst Handel;;74,6;Австрия
Av. dos Lusiadas, 23;Сан-Пауло;30.03.98 09:00;20.04.98 08:00;23.03.98 08:00;2;05432-043;10969;COMMI;1;Comercio Mineiro;SP;0,21;Бразилия
C/ Araquil, 67;Мадрид;24.04.98 08:00;07.04.98 08:00;24.03.98 08:00;1;28023;10970;BOLID;9;Bolido Comidas preparadas;;16,16;Испания
54, rue Royale;Нант;02.04.98 09:00;21.04.98 08:00;24.03.98 08:00;2;44000;10971;FRANR;2;France restauration;;121,82;Франция
67, avenue de l'Europe;Версаль;26.03.98 08:00;21.04.98 08:00;24.03.98 08:00;2;78000;10972;LACOR;4;La corne d'abondance;;0,02;Франция
67, avenue de l'Europe;Версаль;27.03.98 08:00;21.04.98 08:00;24.03.98 08:00;2;78000;10973;LACOR;6;La corne d'abondance;;15,17;Франция
P.O. Box 555;Лендер;03.04.98 09:00;08.04.98 08:00;25.03.98 08:00;3;82520;10974;SPLIR;3;Split Rail Beer & Ale;WY;12,96;США
23 Tsawassen Blvd.;Тсавассен;27.03.98 08:00;22.04.98 08:00;25.03.98 08:00;3;T2F 8M4;10975;BOTTM;1;Bottom-Dollar Markets;BC;32,27;Канада
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;03.04.98 09:00;06.05.98 08:00;25.03.98 08:00;1;5022;10976;HILAA;1;HILARION-Abastos;Tochira;37,97;Венесуэлла
Lkergatan 24;Брекке;10.04.98 08:00;23.04.98 08:00;26.03.98 08:00;3;S-844 67;10977;FOLKO;8;Folk och fa HB;;208,5;Швеция
Rue Joseph-Bens 532;Брюссель;23.04.98 08:00;23.04.98 08:00;26.03.98 08:00;2;B-1180;10978;MAISD;9;Maison Dewey;;32,82;Бельгия
Kirchgasse 6;Грасс;31.03.98 09:00;23.04.98 08:00;26.03.98 08:00;2;8010;10979;ERNSH;8;Ernst Handel;;353,07;Австрия
Lkergatan 24;Брекке;17.04.98 08:00;08.05.98 08:00;27.03.98 08:00;1;S-844 67;10980;FOLKO;4;Folk och fa HB;;1,26;Швеция
Rua do Paco, 67;Рио-де-Жанейро;02.04.98 09:00;24.04.98 08:00;27.03.98 08:00;2;05454-876;10981;HANAR;1;Hanari Carnes;RJ;193,37;Бразилия
23 Tsawassen Blvd.;Тсавассен;08.04.98 08:00;24.04.98 08:00;27.03.98 08:00;1;T2F 8M4;10982;BOTTM;2;Bottom-Dollar Markets;BC;14,01;Канада
187 Suffolk Ln.;Буа;06.04.98 08:00;24.04.98 08:00;27.03.98 08:00;2;83720;10983;SAVEA;2;Save-a-lot Markets;ID;657,54;США
187 Suffolk Ln.;Буа;03.04.98 09:00;27.04.98 08:00;30.03.98 09:00;3;83720;10984;SAVEA;1;Save-a-lot Markets;ID;211,22;США
8 Johnstown Road;Корк;02.04.98 09:00;27.04.98 08:00;30.03.98 09:00;1;;10985;HUNGO;2;Hungry Owl All-Night Grocers;Co. Cork;91,51;Ирландия
"Ing. Gustavo Moncada 8585
Piso 20-A";Буэнос-Айрес;21.04.98 08:00;27.04.98 08:00;30.03.98 09:00;2;1010;10986;OCEAN;8;Oceano Atlantico Ltda.;;217,86;Аргентина
35 King George;Лондон;06.04.98 08:00;28.04.98 08:00;31.03.98 09:00;1;WX3 6FW;10987;EASTC;8;Eastern Connection;;185,48;Великобритания
2817 Milton Dr.;Альбукерке;10.04.98 08:00;28.04.98 08:00;31.03.98 09:00;2;87110;10988;RATTC;3;Rattlesnake Canyon Grocery;NM;61,14;США
Rua da Panificadora, 12;Рио-де-Жанейро;02.04.98 09:00;28.04.98 08:00;31.03.98 09:00;1;02389-673;10989;QUEDE;2;Que Delicia;RJ;34,76;Бразилия
Kirchgasse 6;Грасс;07.04.98 08:00;13.05.98 08:00;01.04.98 09:00;3;8010;10990;ERNSH;2;Ernst Handel;;117,61;Австрия
Taucherstrasse 10;Кюневальд;07.04.98 08:00;29.04.98 08:00;01.04.98 09:00;1;01307;10991;QUICK;1;QUICK-Stop;;38,51;Германия
"89 Jefferson Way
Suite 2";Портленд;03.04.98 09:00;29.04.98 08:00;01.04.98 09:00;3;97201;10992;THEBI;1;The Big Cheese;OR;4,27;США
Lkergatan 24;Брекке;10.04.98 08:00;29.04.98 08:00;01.04.98 09:00;3;S-844 67;10993;FOLKO;7;Folk och fa HB;;8,81;Швеция
Smagsloget 45;Орхус;09.04.98 08:00;16.04.98 08:00;02.04.98 09:00;3;8200;10994;VAFFE;2;Vaffeljernet;;65,53;Дания
Calle Dr. Jorge Cash 321;Мехико;06.04.98 08:00;30.04.98 08:00;02.04.98 09:00;3;05033;10995;PERIC;1;Pericles Comidas clasicas;;46;Мексика
Taucherstrasse 10;Кюневальд;10.04.98 08:00;30.04.98 08:00;02.04.98 09:00;2;01307;10996;QUICK;4;QUICK-Stop;;1,12;Германия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;13.04.98 08:00;15.05.98 08:00;03.04.98 09:00;2;3508;10997;LILAS;8;LILA-Supermercado;Lara;73,91;Венесуэлла
ul. Filtrowa 68;Варшава;17.04.98 08:00;17.04.98 08:00;03.04.98 09:00;2;01-012;10998;WOLZA;8;Wolski Zajazd;;20,31;Польша
Mehrheimerstr. 369;Кельн;10.04.98 08:00;01.05.98 08:00;03.04.98 09:00;2;50739;10999;OTTIK;6;Ottilies Kaseladen;;96,35;Германия
2817 Milton Dr.;Альбукерке;14.04.98 08:00;04.05.98 08:00;06.04.98 08:00;3;87110;11000;RATTC;2;Rattlesnake Canyon Grocery;NM;55,12;США
Lkergatan 24;Брекке;14.04.98 08:00;04.05.98 08:00;06.04.98 08:00;2;S-844 67;11001;FOLKO;2;Folk och fa HB;;197,3;Швеция
187 Suffolk Ln.;Буа;16.04.98 08:00;04.05.98 08:00;06.04.98 08:00;1;83720;11002;SAVEA;4;Save-a-lot Markets;ID;141,16;США
55 Grizzly Peak Rd.;Бут;08.04.98 08:00;04.05.98 08:00;06.04.98 08:00;3;59801;11003;THECR;3;The Cracker Box;MT;14,91;США
Rue Joseph-Bens 532;Брюссель;20.04.98 08:00;05.05.98 08:00;07.04.98 08:00;1;B-1180;11004;MAISD;3;Maison Dewey;;44,84;Бельгия
Keskuskatu 45;Хельсинки;10.04.98 08:00;05.05.98 08:00;07.04.98 08:00;1;21240;11005;WILMK;2;Wilman Kala;;0,75;Финляндия
2732 Baker Blvd.;Юджин;15.04.98 08:00;05.05.98 08:00;07.04.98 08:00;2;97403;11006;GREAL;3;Great Lakes Food Market;OR;25,19;США
Estrada da saude n. 58;Лиссабон;13.04.98 08:00;06.05.98 08:00;08.04.98 08:00;2;1756;11007;PRINI;8;Princesa Isabel Vinhos;;202,24;Португалия
Kirchgasse 6;Грасс;;06.05.98 08:00;08.04.98 08:00;3;8010;11008;ERNSH;7;Ernst Handel;;79,46;Австрия
C/ Romero, 33;Севилья;10.04.98 08:00;06.05.98 08:00;08.04.98 08:00;1;41101;11009;GODOS;2;Godos Cocina Tipica;;59,11;Испания
Strada Provinciale 124;Реджио-Эмилио;21.04.98 08:00;07.05.98 08:00;09.04.98 08:00;2;42100;11010;REGGC;2;Reggiani Caseifici;;28,71;Италия
Obere Str. 57;Берлин;13.04.98 08:00;07.05.98 08:00;09.04.98 08:00;1;12209;11011;ALFKI;3;Alfreds Futterkiste;;1,21;Германия
Berliner Platz 43;Мюнхен;17.04.98 08:00;23.04.98 08:00;09.04.98 08:00;3;80805;11012;FRANK;1;Frankenversand;;242,95;Германия
Gran Via, 1;Мадрид;10.04.98 08:00;07.05.98 08:00;09.04.98 08:00;1;28001;11013;ROMEY;2;Romero y tomillo;;32,99;Испания
Ave. 5 de Mayo Porlamar;О-в Маргариты;15.04.98 08:00;08.05.98 08:00;10.04.98 08:00;3;4980;11014;LINOD;2;LINO-Delicateses;Nueva Esparta;23,6;Венесуэлла
Erling Skakkes gate 78;Ставерен;20.04.98 08:00;24.04.98 08:00;10.04.98 08:00;2;4110;11015;SANTG;2;Sante Gourmet;;4,62;Норвегия
"Brook Farm
Stratford St. Mary";Колчестер;13.04.98 08:00;08.05.98 08:00;10.04.98 08:00;2;CO7 6JX;11016;AROUT;9;Around the Horn;Essex;33,8;Великобритания
Kirchgasse 6;Грасс;20.04.98 08:00;11.05.98 08:00;13.04.98 08:00;2;8010;11017;ERNSH;9;Ernst Handel;;754,26;Австрия
89 Chiaroscuro Rd.;Портленд;16.04.98 08:00;11.05.98 08:00;13.04.98 08:00;2;97219;11018;LONEP;4;Lonesome Pine Restaurant;OR;11,65;США
Av. del Libertador 900;Буэнос-Айрес;;11.05.98 08:00;13.04.98 08:00;3;1010;11019;RANCH;6;Rancho grande;;3,17;Аргентина
Mehrheimerstr. 369;Кельн;16.04.98 08:00;12.05.98 08:00;14.04.98 08:00;2;50739;11020;OTTIK;2;Ottilies Kaseladen;;43,3;Германия
Taucherstrasse 10;Кюневальд;21.04.98 08:00;12.05.98 08:00;14.04.98 08:00;1;01307;11021;QUICK;3;QUICK-Stop;;297,18;Германия
Rua do Paco, 67;Рио-де-Жанейро;04.05.98 08:00;12.05.98 08:00;14.04.98 08:00;2;05454-876;11022;HANAR;9;Hanari Carnes;RJ;6,27;Бразилия
Fauntleroy Circus;Лондон;24.04.98 08:00;28.04.98 08:00;14.04.98 08:00;2;EC2 5NT;11023;BSBEV;1;B's Beverages;;123,83;Великобритания
35 King George;Лондон;20.04.98 08:00;13.05.98 08:00;15.04.98 08:00;1;WX3 6FW;11024;EASTC;4;Eastern Connection;;74,36;Великобритания
Torikatu 38;Оулу;24.04.98 08:00;13.05.98 08:00;15.04.98 08:00;3;90110;11025;WARTH;6;Wartian Herkku;;29,17;Финляндия
Via Monte Bianco 34;Турин;28.04.98 08:00;13.05.98 08:00;15.04.98 08:00;1;10100;11026;FRANS;4;Franchi S.p.A.;;47,09;Италия
23 Tsawassen Blvd.;Тсавассен;20.04.98 08:00;14.05.98 08:00;16.04.98 08:00;1;T2F 8M4;11027;BOTTM;1;Bottom-Dollar Markets;BC;52,52;Канада
Maubelstr. 90;Бранденбург;22.04.98 08:00;14.05.98 08:00;16.04.98 08:00;1;14776;11028;KOENE;2;Koniglich Essen;;29,59;Германия
Hauptstr. 31;Берн;27.04.98 08:00;14.05.98 08:00;16.04.98 08:00;1;3012;11029;CHOPS;4;Chop-suey Chinese;;47,84;Швейцария
187 Suffolk Ln.;Буа;27.04.98 08:00;15.05.98 08:00;17.04.98 08:00;2;83720;11030;SAVEA;7;Save-a-lot Markets;ID;830,75;США
187 Suffolk Ln.;Буа;24.04.98 08:00;15.05.98 08:00;17.04.98 08:00;2;83720;11031;SAVEA;6;Save-a-lot Markets;ID;227,22;США
1029 - 12th Ave. S.;Сиэтл;23.04.98 08:00;15.05.98 08:00;17.04.98 08:00;3;98124;11032;WHITC;2;White Clover Markets;WA;606,19;США
Starenweg 5;Женева;23.04.98 08:00;15.05.98 08:00;17.04.98 08:00;3;1204;11033;RICSU;7;Richter Supermarkt;;84,74;Швейцария
2743 Bering St.;Анкоридж;27.04.98 08:00;01.06.98 08:00;20.04.98 08:00;1;99508;11034;OLDWO;8;Old World Delicatessen;AK;40,32;США
Boulevard Tirou, 255;Шарлеруа;24.04.98 08:00;18.05.98 08:00;20.04.98 08:00;2;B-6000;11035;SUPRD;2;Supremes delices;;0,17;Бельгия
Walserweg 21;Ахен;22.04.98 08:00;18.05.98 08:00;20.04.98 08:00;3;52066;11036;DRACD;8;Drachenblut Delikatessen;;149,47;Германия
C/ Romero, 33;Севилья;27.04.98 08:00;19.05.98 08:00;21.04.98 08:00;1;41101;11037;GODOS;7;Godos Cocina Tipica;;3,2;Испания
Boulevard Tirou, 255;Шарлеруа;30.04.98 08:00;19.05.98 08:00;21.04.98 08:00;2;B-6000;11038;SUPRD;1;Supremes delices;;29,59;Бельгия
Ave. 5 de Mayo Porlamar;О-в Маргариты;;19.05.98 08:00;21.04.98 08:00;2;4980;11039;LINOD;1;LINO-Delicateses;Nueva Esparta;65;Венесуэлла
2732 Baker Blvd.;Юджин;;20.05.98 08:00;22.04.98 08:00;3;97403;11040;GREAL;4;Great Lakes Food Market;OR;18,84;США
Hauptstr. 31;Берн;28.04.98 08:00;20.05.98 08:00;22.04.98 08:00;2;3012;11041;CHOPS;3;Chop-suey Chinese;;48,22;Швейцария
Av. dos Lusiadas, 23;Сан-Пауло;01.05.98 08:00;06.05.98 08:00;22.04.98 08:00;1;05432-043;11042;COMMI;2;Comercio Mineiro;SP;29,99;Бразилия
25, rue Lauriston;Париж;29.04.98 08:00;20.05.98 08:00;22.04.98 08:00;2;75016;11043;SPECD;5;Specialites du monde;;8,8;Франция
ul. Filtrowa 68;Варшава;01.05.98 08:00;21.05.98 08:00;23.04.98 08:00;1;01-012;11044;WOLZA;4;Wolski Zajazd;;8,72;Польша
23 Tsawassen Blvd.;Тсавассен;;21.05.98 08:00;23.04.98 08:00;2;T2F 8M4;11045;BOTTM;6;Bottom-Dollar Markets;BC;70,58;Канада
Adenauerallee 900;Штутгарт;24.04.98 08:00;21.05.98 08:00;23.04.98 08:00;2;70563;11046;WANDK;8;Die Wandernde Kuh;;71,64;Германия
35 King George;Лондон;01.05.98 08:00;22.05.98 08:00;24.04.98 08:00;3;WX3 6FW;11047;EASTC;7;Eastern Connection;;46,62;Великобритания
23 Tsawassen Blvd.;Тсавассен;30.04.98 08:00;22.05.98 08:00;24.04.98 08:00;3;T2F 8M4;11048;BOTTM;7;Bottom-Dollar Markets;BC;24,12;Канада
Av. Brasil, 442;Кампинас;04.05.98 08:00;22.05.98 08:00;24.04.98 08:00;1;04876-786;11049;GOURL;3;Gourmet Lanchonetes;SP;8,34;Бразилия
Lkergatan 24;Брекке;05.05.98 08:00;25.05.98 08:00;27.04.98 08:00;2;S-844 67;11050;FOLKO;8;Folk och fa HB;;59,41;Швеция
1 rue Alsace-Lorraine;Тулуза;;25.05.98 08:00;27.04.98 08:00;3;31000;11051;LAMAI;7;La maison d'Asie;;2,79;Франция
Rua do Paco, 67;Рио-де-Жанейро;01.05.98 08:00;25.05.98 08:00;27.04.98 08:00;1;05454-876;11052;HANAR;3;Hanari Carnes;RJ;67,26;Бразилия
